feature,importance
num__trip_to_cutoff_minutes,2550
num__osrm_distance,1660
num__trip_hour,1396
num__osrm_speed,1296
num__osrm_time,1202
num__trip_to_scan_minutes,951
num__trip_weekday,860
num__corridor_volume,652
num__src_embedding_26,499
num__src_embedding_12,450
num__src_embedding_4,421
num__source_volume,412
num__src_embedding_19,399
num__src_embedding_20,362
num__src_embedding_16,355
num__src_embedding_6,352
num__destination_volume,351
num__src_embedding_22,334
num__src_embedding_3,319
num__src_embedding_31,310
num__dst_embedding_26,296
num__src_embedding_29,295
num__src_embedding_21,294
num__src_embedding_18,288
num__src_embedding_23,279
num__src_embedding_32,275
num__dst_embedding_7,261
num__dst_embedding_30,257
num__src_embedding_9,256
num__src_embedding_15,253
num__dst_embedding_4,250
num__dst_embedding_32,250
num__src_embedding_14,248
num__src_embedding_13,246
num__src_embedding_27,246
num__src_embedding_30,241
num__src_embedding_24,239
num__dst_embedding_21,237
num__dst_embedding_13,233
num__dst_embedding_8,233
num__src_embedding_7,226
num__src_embedding_11,224
num__src_embedding_17,219
num__src_embedding_25,219
num__dst_closeness_centrality,217
num__dst_embedding_1,215
num__dst_embedding_22,215
num__src_embedding_5,214
num__src_embedding_28,213
num__dst_embedding_23,211
num__dst_embedding_14,210
num__src_betweenness_centrality,210
num__src_embedding_10,208
num__src_embedding_1,207
num__dst_embedding_18,206
num__dst_embedding_19,205
num__dst_embedding_3,204
num__dst_embedding_11,204
num__dst_embedding_28,204
num__dst_hub_score,203
num__dst_in_degree_centrality,201
num__dst_embedding_16,201
num__dst_embedding_20,199
num__src_embedding_2,197
num__dst_betweenness_centrality,195
num__dst_embedding_2,194
num__dst_embedding_15,192
num__dst_embedding_31,192
num__dst_embedding_6,183
num__dst_embedding_24,183
num__dst_authority_score,182
num__dst_embedding_27,182
num__src_embedding_8,178
num__dst_embedding_12,173
num__dst_embedding_10,172
num__dst_embedding_9,171
num__dst_pagerank,170
num__dst_embedding_25,166
num__dst_embedding_5,157
num__src_authority_score,153
num__dst_embedding_29,152
num__dst_embedding_17,136
num__src_pagerank,131
num__src_hub_score,125
num__trip_month,113
cat__route_type_Carting,103
num__dst_degree_centrality,97
num__src_closeness_centrality,89
cat__src_community_id_45,73
num__src_out_degree_centrality,72
cat__src_community_id_34,64
num__dst_out_degree_centrality,53
num__src_community_size,49
cat__src_community_id_17,49
num__is_weekend,46
num__src_degree_centrality,43
num__src_in_degree_centrality,38
cat__dst_community_id_45,34
cat__route_type_FTL,27
num__dst_community_size,27
cat__src_community_id_79,23
cat__dst_community_id_34,22
cat__dst_community_id_7,17
cat__dst_community_id_17,15
cat__src_community_id_74,15
cat__src_community_id_1,15
cat__src_community_id_37,11
cat__src_community_id_44,11
cat__src_community_id_38,10
cat__src_community_id_7,10
cat__src_community_id_58,8
cat__dst_community_id_75,8
cat__src_community_id_82,8
cat__dst_community_id_58,7
cat__dst_community_id_1,7
cat__dst_community_id_2,7
cat__src_community_id_3,7
cat__src_community_id_9,6
cat__src_community_id_92,5
cat__dst_community_id_53,5
cat__src_community_id_89,5
cat__src_community_id_10,5
cat__src_community_id_60,5
cat__src_community_id_11,4
cat__src_community_id_8,4
cat__dst_community_id_10,4
cat__src_community_id_75,4
cat__src_community_id_28,3
cat__dst_community_id_44,3
cat__src_community_id_4,3
cat__src_community_id_52,3
cat__src_community_id_53,3
cat__src_community_id_31,2
cat__src_community_id_72,2
cat__dst_community_id_57,2
cat__dst_community_id_82,2
cat__dst_community_id_74,2
cat__dst_community_id_73,2
cat__src_community_id_20,2
cat__dst_community_id_38,2
cat__src_community_id_15,2
cat__dst_community_id_76,1
cat__dst_community_id_89,1
cat__dst_community_id_79,1
cat__dst_community_id_92,1
cat__dst_community_id_8,1
cat__src_community_id_13,1
cat__dst_community_id_29,1
cat__dst_community_id_15,1
cat__src_community_id_63,1
cat__src_community_id_56,1
cat__src_community_id_76,1
cat__src_community_id_33,1
cat__src_community_id_29,1
cat__src_community_id_22,1
cat__src_community_id_61,1
cat__dst_community_id_46,0
cat__dst_community_id_41,0
cat__dst_community_id_39,0
cat__dst_community_id_43,0
cat__dst_community_id_42,0
cat__dst_community_id_37,0
cat__dst_community_id_31,0
cat__dst_community_id_32,0
cat__dst_community_id_35,0
cat__dst_community_id_33,0
cat__dst_community_id_30,0
cat__dst_community_id_26,0
cat__dst_community_id_27,0
cat__dst_community_id_28,0
cat__dst_community_id_16,0
cat__dst_community_id_20,0
cat__dst_community_id_19,0
cat__dst_community_id_25,0
cat__dst_community_id_23,0
cat__dst_community_id_24,0
cat__dst_community_id_22,0
cat__dst_community_id_21,0
cat__dst_community_id_14,0
cat__dst_community_id_18,0
cat__src_community_id_14,0
cat__src_community_id_19,0
cat__dst_community_id_9,0
cat__dst_community_id_11,0
cat__dst_community_id_12,0
cat__dst_community_id_13,0
cat__src_community_id_12,0
cat__src_community_id_6,0
cat__src_community_id_5,0
cat__src_community_id_18,0
cat__src_community_id_16,0
cat__dst_community_id_40,0
cat__dst_community_id_36,0
cat__dst_community_id_80,0
cat__dst_community_id_78,0
cat__dst_community_id_77,0
cat__dst_community_id_72,0
cat__dst_community_id_67,0
cat__dst_community_id_68,0
cat__dst_community_id_69,0
cat__dst_community_id_70,0
cat__dst_community_id_54,0
cat__dst_community_id_63,0
cat__dst_community_id_62,0
cat__dst_community_id_61,0
cat__dst_community_id_60,0
cat__dst_community_id_59,0
cat__dst_community_id_64,0
cat__dst_community_id_66,0
cat__dst_community_id_65,0
cat__dst_community_id_71,0
cat__dst_community_id_52,0
cat__dst_community_id_56,0
cat__dst_community_id_47,0
cat__dst_community_id_50,0
cat__dst_community_id_51,0
cat__dst_community_id_49,0
cat__dst_community_id_48,0
cat__src_community_id_70,0
cat__src_community_id_69,0
cat__dst_community_id_6,0
cat__dst_community_id_5,0
cat__dst_community_id_4,0
cat__dst_community_id_3,0
cat__src_community_id_93,0
cat__dst_community_id_0,0
cat__src_community_id_87,0
cat__src_community_id_88,0
cat__src_community_id_91,0
cat__src_community_id_90,0
cat__dst_community_id_91,0
cat__dst_community_id_93,0
cat__src_community_id_85,0
cat__src_community_id_86,0
cat__dst_community_id_83,0
cat__dst_community_id_81,0
cat__dst_community_id_85,0
cat__dst_community_id_84,0
cat__dst_community_id_88,0
cat__dst_community_id_90,0
cat__dst_community_id_86,0
cat__dst_community_id_87,0
cat__src_community_id_83,0
cat__src_community_id_84,0
cat__src_community_id_80,0
cat__src_community_id_81,0
cat__src_community_id_73,0
cat__src_community_id_71,0
cat__src_community_id_78,0
cat__src_community_id_77,0
cat__src_community_id_36,0
cat__src_community_id_68,0
cat__src_community_id_67,0
cat__src_community_id_66,0
cat__src_community_id_64,0
cat__src_community_id_65,0
cat__src_community_id_59,0
cat__src_community_id_62,0
cat__src_community_id_54,0
cat__src_community_id_57,0
cat__src_community_id_46,0
cat__src_community_id_43,0
cat__src_community_id_41,0
cat__src_community_id_42,0
cat__src_community_id_40,0
cat__src_community_id_39,0
cat__src_community_id_21,0
cat__src_community_id_51,0
cat__src_community_id_49,0
cat__src_community_id_50,0
cat__src_community_id_48,0
cat__src_community_id_47,0
cat__src_community_id_23,0
cat__src_community_id_24,0
cat__src_community_id_30,0
cat__src_community_id_27,0
cat__src_community_id_25,0
cat__src_community_id_26,0
cat__src_community_id_35,0
cat__src_community_id_32,0
cat__src_community_id_2,0
cat__src_community_id_0,0
