source_center,shipments,impact_score,Priority
IND000000ACB,4836,9117.025902970754,Tier 1
IND562132AAA,2005,3662.359147032928,Tier 1
IND421302AAG,1643,3484.387296022229,Tier 1
IND411033AAA,678,1364.6137205538869,Tier 1
IND501359AAE,678,1362.7782488547914,Tier 2
IND712311AAA,477,1089.2546003765162,Tier 2
IND395023AAA,545,1018.157238655024,Tier 2
IND110037AAM,469,993.5429343622412,Tier 2
IND160002AAC,422,796.2955707122567,Tier 3
IND751002AAB,296,651.0493233074628,Tier 3
IND131028AAB,358,632.2380561699592,Tier 3
IND462022AAA,319,597.8647953723308,Tier 3
IND560099AAB,342,594.3856902992177,Tier 3
IND382430AAB,315,582.9684677012539,Tier 3
IND600056AAB,304,570.4277326588483,Tier 3
IND400072AAB,176,540.9740747844241,Tier 3
IND560300AAA,258,489.2726425613758,Tier 3
IND854326AAB,225,455.8663703159895,Tier 3
IND781018AAB,170,443.3314625523437,Tier 3
IND209304AAA,213,416.74419437033526,Tier 3
