destination_center,shipments,avg_actual_factor,avg_pred_factor
IND827013AAA,30,4.116408090300945,4.270981656326622
IND273014AAB,30,2.9769491902418395,3.509326267364854
IND110044AAB,30,4.061008389422159,3.353765945701217
IND421302AAR,41,3.1810782533089066,3.2273003351836085
IND400072AAB,113,3.320488464097162,3.2265157322102103
IND742102AAB,46,2.86887508563084,3.216205496320634
IND400102AAC,54,3.052707760952156,3.081105890436147
IND401104AAA,87,3.155896468055164,3.0715293901250744
IND635802AAB,31,2.118555404493316,3.064908366384711
IND842001AAA,255,3.0396685898141844,2.9831197760531762
IND585104AAA,81,2.6913187912751426,2.982779012310075
IND742101AAC,63,2.7257754183016947,2.94242487067942
IND400072AAD,34,2.8513477606288573,2.9018541774985316
IND000000AFT,63,3.0275522257689955,2.8934053061196083
IND400015AAA,73,3.292919364120928,2.8087621547363235
IND302014AAB,71,3.322122192728973,2.7706456615816752
IND506002AAA,31,2.355612647380444,2.7412022726340615
IND400015AAB,37,2.5344958861385183,2.7103052473847535
IND786001AAB,38,2.9233013520112796,2.6096625319756463
IND305001AAC,50,2.5258059647135784,2.5501871429836225
IND431136AAC,96,2.472442274708199,2.50533756625136
IND758034AAA,32,2.9971016468168536,2.4600935023132307
IND485001AAC,54,2.880349647271549,2.446247450729759
IND712311AAA,1092,2.442545908063469,2.4412651508405974
IND854326AAB,84,2.6427448926256325,2.4180781113625454
IND209304AAA,407,2.493881551311019,2.40639739940384
IND834002AAB,226,2.338129130080853,2.386120167094038
IND000000ACA,75,2.369469942431741,2.373153309716376
IND121004AAB,128,2.21416151179489,2.3670542630450977
IND421302AAG,1241,2.226163547139552,2.343424598842871
IND600032AAB,49,2.742856251107833,2.3397746090970024
IND826004AAA,104,2.242455523631436,2.339211208015821
IND444005AAB,94,2.42046334709349,2.3382724790772733
IND756100AAC,44,2.206234253320043,2.3225150491997897
IND500010AAB,42,2.239419344943537,2.3153789300324283
IND711303AAA,30,2.2067899344367414,2.309713646713134
IND500039AAC,33,2.34135525804387,2.3047649453229724
IND781018AAB,153,2.6426836520490866,2.2948238634217417
IND691001AAB,34,3.4871063030818807,2.2889430566947193
IND575004AAB,53,2.177175350045422,2.2766329690270197
IND533106AAA,36,2.078818939156965,2.249552841930501
IND402107AAA,33,2.09379729094659,2.2437401489553928
IND462022AAA,650,2.1307326488475664,2.212692523960861
IND403726AAA,82,2.2660352381909,2.2023535892750545
IND821115AAB,148,2.145894985276645,2.1928408613898367
IND201301AAF,76,2.3148263648193814,2.189329611544583
IND517501AAB,64,2.470572075470762,2.1807106736178903
IND201301AAM,103,1.8824677583620664,2.1632968804859836
IND560078AAC,38,2.1463824855535107,2.1577539095438483
IND760003AAB,32,1.75485815322903,2.1537705454910476
IND516101AAA,42,2.0794245501662614,2.1452239972821836
IND580028AAA,81,2.1331517796541397,2.138406647562241
IND301001AAB,36,2.214742084648406,2.1229707725581908
IND600044AAC,50,2.168476519314795,2.1228189601396465
IND110095AAB,50,2.0242134304622628,2.122788399489611
IND201007AAA,57,2.20438711123225,2.1130978121710227
IND121102AAA,50,2.2101985817503063,2.1081385331716036
IND505001AAB,55,2.300899424497412,2.0880482831593827
IND110037AAM,493,2.0257267748671866,2.085853440939029
IND382430AAB,453,1.9971766853893953,2.0856820677565544
IND530012AAA,155,2.232913101859085,2.0836726665482987
IND431603AAA,36,2.069433245723383,2.082110233822398
IND431203AAA,40,1.8032404972324847,2.0627768842364267
IND110043AAA,34,1.8327360335072003,2.059245908373904
IND411033AAA,709,2.0764023606373057,2.0591239269410395
IND422011AAD,53,1.7658666781492693,2.052311687785561
IND202001AAB,40,2.1579648348759948,2.048942712944821
IND474003AAA,35,1.7739955423345313,2.048426515219795
IND306401AAB,66,1.9481032151264588,2.0357176058231663
IND302014AAA,403,1.9943366216877272,2.0184229807704486
IND000000AEL,42,1.8306516501164993,2.004146280733253
IND313001AAB,84,1.938216202510534,1.9972517722032084
IND560048AAB,43,1.8250315047032961,1.99278647916363
IND160002AAC,505,2.004789722682732,1.9786361845123301
IND501359AAE,1126,1.9346127685585117,1.9671971649940159
IND521225AAB,107,1.9111642765310248,1.9414933094228843
IND312001AAA,39,1.980728726583631,1.9410261950228573
IND416012AAA,101,2.089234543548385,1.9407509324615249
IND560099AAB,279,1.8799023195539295,1.937136638231774
IND600056AAB,328,1.893221914351468,1.9283184574665648
IND751002AAB,421,1.8789261161534445,1.928147114265728
IND335513AAA,43,2.4116255684622256,1.9271939133820986
IND152026AAA,36,1.6344283196733262,1.9238986058461098
IND560058AAD,30,1.8902706260600999,1.923882327586904
IND560002AAA,43,1.8759755007034289,1.9149377489097645
IND395023AAA,203,2.0802698235953287,1.913829571830616
IND560085AAA,45,2.358876732458978,1.9099996656731142
IND131028AAB,659,1.869113634872377,1.9018958634390226
IND683511AAA,96,1.777950905437095,1.9012307407713385
IND560043AAC,75,1.7608844696900705,1.8828469046068956
IND600076AAB,40,1.6641068398425307,1.874061907719804
IND000000ACB,2512,1.8938711580420966,1.8730313193943755
IND560083AAB,52,1.686823145577872,1.8538270562239798
IND302022AAD,45,1.681782032905313,1.8524052051125197
IND121002AAB,60,1.7316265141662934,1.8425755820534964
IND573201AAB,33,1.944459704111254,1.8365426993020526
IND515004AAA,71,1.5902342468121917,1.8166594307209962
IND532001AAB,83,1.7218146739176905,1.8117731316269317
IND362001AAA,32,1.629397797620606,1.8060759878501333
IND142001AAB,37,1.678054603441395,1.7870080619883337
IND184104AAA,36,1.9580486487972872,1.7841380383343157
IND110030AAD,33,1.6728192825722614,1.7770328882864352
IND140901AAA,38,1.6376318027248298,1.7687675158420142
IND518002AAA,125,1.6420665975422892,1.76838620702419
IND515201AAA,30,1.6798349924831615,1.763859306022135
IND390022AAA,116,1.7399155242664457,1.7453509065033648
IND560300AAA,222,1.6979347240995761,1.7431063348414546
IND581119AAB,30,1.7694999489053123,1.740977634247911
IND388320AAA,57,1.5496455362724335,1.7395592285613153
IND562132AAA,1993,1.7655799499360167,1.7315751654447173
IND560058AAB,73,1.7028555482474834,1.7236221941490937
IND384205AAA,38,1.7071496158163013,1.7185298156653837
IND641062AAD,45,1.7053141938921754,1.7108146200104692
IND523002AAA,57,1.787490330242696,1.707890746802243
IND244901AAB,41,1.7090087826915505,1.7056974821241286
IND627005AAA,30,1.7334135246303761,1.6968277383638621
IND110064AAA,91,1.784202200482966,1.6956699743466925
IND413002AAA,137,1.5966367997466622,1.6940145871744396
IND639104AAB,30,1.6339687579493731,1.6879968163215038
IND632006AAA,47,1.43081754668769,1.681080991806126
IND515134AAA,33,1.6230985112518574,1.6723027827452712
IND585314AAA,44,1.7731658497932294,1.663055450797299
IND586128AAA,32,1.5625441300645646,1.65274749508779
IND560060AAB,46,1.608406594862205,1.6200475696707946
IND625008AAA,31,1.6611046837424859,1.5820706180402309
IND151001AAA,56,1.3958625951961718,1.565028528263004
IND174307AAA,35,1.4716282611163827,1.3729026742201194
IND322230AAA,41,1.1609378765541303,1.344406565292215
