feature,mean_positive_shap
num__trip_to_cutoff_minutes,0.1669220511342762
cat__route_type_Carting,0.09847068852161607
num__osrm_speed,0.08916191821769183
num__corridor_volume,0.08873769300992847
num__trip_to_scan_minutes,0.08276240850198077
num__source_volume,0.06846561201177973
num__src_embedding_12,0.06164750552641983
num__trip_hour,0.057765256992155144
num__src_embedding_26,0.05317716558099566
num__dst_embedding_30,0.051912441979110546
num__embedding_cosine_similarity,0.049979106966808004
num__src_embedding_22,0.049342843422783667
num__src_embedding_15,0.04584395828660065
num__src_embedding_13,0.04353708673787066
num__src_embedding_6,0.042598559131294636
num__src_embedding_30,0.03958294203903431
num__dst_embedding_4,0.03788275847882118
num__src_embedding_28,0.03658125169485566
num__dst_embedding_26,0.036567205309973885
num__osrm_time,0.035371843929373446
num__src_embedding_14,0.03454731646527046
cat__route_type_FTL,0.03442874123335564
num__dst_embedding_6,0.03323744047721604
num__src_embedding_9,0.029746535692021573
num__src_betweenness_centrality,0.029010157744837995
num__dst_embedding_22,0.02887259344307171
num__src_embedding_16,0.028698993851025957
num__betweenness_difference,0.028104838139827854
num__src_hub_score,0.026976692751459027
num__src_embedding_24,0.026737604848231324
num__src_embedding_5,0.025699939511705013
num__authority_score_difference,0.02541546812958698
num__src_community_size,0.024197437864855325
num__dst_embedding_32,0.02365735845138995
num__osrm_distance,0.023521870496731087
num__src_embedding_20,0.023092642698334543
num__src_embedding_3,0.022533968663294626
num__dst_degree_centrality,0.02248343171730923
num__dst_in_degree_centrality,0.02148285708037418
num__src_embedding_31,0.020496644586394955
num__src_embedding_4,0.019457610562667736
num__src_embedding_29,0.01787880070138456
num__dst_embedding_21,0.016910164069771343
num__destination_volume,0.0162650276719013
num__src_embedding_27,0.016016625755066155
num__dst_betweenness_centrality,0.015956156636194343
num__dst_embedding_24,0.01557760588335799
num__dst_embedding_5,0.01534846527868449
num__dst_embedding_8,0.015281500039193157
num__src_embedding_23,0.013871044088120866
num__dst_embedding_23,0.013749789381524626
num__pagerank_difference,0.01350890483109088
num__dst_closeness_centrality,0.01331087044472067
num__src_embedding_32,0.013125818448627608
num__dst_embedding_1,0.012862122892467026
num__dst_embedding_13,0.01258765637721809
num__dst_embedding_2,0.011976221744601119
num__dst_authority_score,0.011950088419811941
num__dst_embedding_19,0.011548580794694263
num__dst_embedding_15,0.01139351209623675
num__src_embedding_21,0.011334660957410047
num__src_embedding_10,0.010210023017883903
num__src_embedding_17,0.009759147555912886
num__dst_embedding_11,0.009361183360610651
num__dst_community_size,0.009181650427610006
num__src_embedding_25,0.009071089605356205
num__trip_weekday,0.008869132068947962
num__dst_embedding_25,0.008690281801069672
num__src_embedding_7,0.008059647758960082
num__src_embedding_11,0.007786706112996104
num__dst_embedding_16,0.007615286556314384
num__dst_pagerank,0.007390488555844799
num__src_embedding_18,0.006722121808847179
num__dst_embedding_10,0.0066768541681593565
num__dst_embedding_31,0.00647674160330641
num__src_embedding_1,0.006349297484073104
num__dst_embedding_20,0.0063196416115289065
num__dst_hub_score,0.006090989538254676
num__dst_embedding_27,0.0059545342317100965
num__dst_embedding_3,0.0058640321710143
num__src_embedding_8,0.005721707142647511
num__src_embedding_19,0.005626723812121045
num__hub_score_difference,0.005545304402732717
num__dst_out_degree_centrality,0.00535730565164598
num__dst_embedding_17,0.005348859450445481
num__trip_month,0.005325597701718379
num__src_pagerank,0.005225629599434327
num__src_authority_score,0.005030568212582093
num__dst_embedding_14,0.004988447317471447
num__dst_embedding_12,0.004476755963276399
num__dst_embedding_29,0.004410444945640127
num__src_embedding_2,0.004277759534808668
num__dst_embedding_9,0.0042734857994789965
num__src_closeness_centrality,0.004034634212968083
num__dst_embedding_18,0.0039970452815364325
num__dst_embedding_28,0.003975256108401224
num__dst_embedding_7,0.0029158633195506675
num__src_degree_centrality,0.0026932084896777943
num__src_out_degree_centrality,0.001590078050322493
num__src_in_degree_centrality,0.0009869631484031973
num__is_weekend,0.0009163693050513903
num__same_community,0.0003504976690484381
